co_code,nsesymbol,broker_name,sales,pat,ebitda,picked_type,expected_sales,expected_ebitda,expected_pat,ebitda_margin_percent,pat_margin_percent,sales_beat,pat_beat,ebitda_beat,sales_flag,pat_flag,ebitda_flag,overall_flag
195,GLAXO,Batlivala & Karani Securities India Pvt. Ltd.,805.17,205.01,251.20000000000002,Consolidated,883.9,267.8,211.7,30.3,24.0,-8.90711618961421,-3.160132262635804,-6.198655713218818,Miss,Inline,Miss,Inline
20600,GLENMARK,Batlivala & Karani Securities India Pvt. Ltd.,3264.44,46.97,257.29,Consolidated,3438.7,625.8,385.4,18.2,11.2,-5.06761276063628,-87.81266216917487,-58.88622563119207,Miss,Miss,Miss,Miss
13868,GMDCLTD,Nuvama Institutional Equities,732.6,163.77,169.14,Consolidated,695.9,179.5,164.9,25.8,23.7,5.273746227906315,-0.6852637962401428,-5.7715877437325975,Beat,Inline,Miss,Inline
75447,GMRP&UI,Batlivala & Karani Securities India Pvt. Ltd.,1648.45,-7.18,400.64,Consolidated,1921.7,522.7,35.3,27.2,1.8,-14.21918093354842,-120.3399433427762,-23.35182705184619,Miss,Miss,Miss,Miss
34142,GNA,Batlivala & Karani Securities India Pvt. Ltd.,344.21,22.99,50.089999999999996,Consolidated,351.7,39.0,16.7,11.1,4.7,-2.1296559567813502,37.66467065868263,28.435897435897427,Inline,Beat,Beat,Beat
21960,GODREJCP,Nuvama Institutional Equities,3661.86,452.45,675.02,Consolidated,3704.7,759.5,473.4,20.5,12.8,-1.1563689367560044,-4.425433037600335,-11.123107307439108,Inline,Inline,Miss,Inline
21960,GODREJCP,Batlivala & Karani Securities India Pvt. Ltd.,3661.86,452.45,675.02,Consolidated,3731.4,787.3,514.7,21.1,13.8,-1.8636436726161751,-12.094423936273566,-14.26139972056395,Inline,Miss,Miss,Miss
15613,GODREJPROP,Nuvama Institutional Equities,434.56,598.4,-270.48,Consolidated,1618.4,137.6,448.3,8.5,27.7,-73.14878892733564,33.4820432745929,-296.5697674418605,Miss,Beat,Miss,Beat
102,GRAPHITE,Batlivala & Karani Securities India Pvt. Ltd.,643.0,145.0,54.0,Standalone,567.4,147.5,189.1,26.0,33.3,13.323933732816359,-23.320994182971972,-63.389830508474574,Beat,Miss,Miss,Miss
227,GRASIM,Nuvama Institutional Equities,9223.13,-118.18,384.59,Standalone,9297.7,232.9,-191.2,2.5,-2.1,-0.8020263075814613,-38.190376569037646,65.13095749248603,Inline,Miss,Beat,Miss
35607,GRAVITA,Nuvama Institutional Equities,1039.94,93.06,100.63,Consolidated,986.9,99.7,89.7,10.1,9.1,5.374404701590848,3.74581939799331,0.9327983951855492,Beat,Inline,Inline,Inline
43814,GREENLAM,Nuvama Institutional Equities,673.79,-15.71,44.08,Consolidated,706.9,66.2,6.4,9.4,0.9,-4.683830810581414,-345.46875,-33.41389728096677,Inline,Miss,Miss,Miss
72426,GREENPANEL,Nuvama Institutional Equities,328.19,-34.62,-15.83,Standalone,341.0,26.9,7.2,7.9,2.1,-3.756598240469209,-580.8333333333334,-158.84758364312268,Inline,Miss,Miss,Miss
4701,GREENPLY,Nuvama Institutional Equities,600.81,28.46,52.46,Consolidated,631.4,65.2,24.1,10.3,3.8,-4.844789356984484,18.091286307053938,-19.539877300613497,Inline,Beat,Miss,Beat
35408,GRINFRA,Nuvama Institutional Equities,1826.14,215.8,231.05,Standalone,1775.3,210.5,181.1,11.9,10.2,2.863741339491925,19.160684704583115,9.762470308788604,Inline,Beat,Beat,Beat
1813,GRPLTD,Batlivala & Karani Securities India Pvt. Ltd.,123.75,1.75,9.92,Consolidated,128.7,12.9,550.5,10.0,427.7,-3.8461538461538374,-99.68210717529519,-23.100775193798455,Inline,Miss,Miss,Miss
24065,GSPL,Nuvama Institutional Equities,283.9,142.49,202.37,Standalone,277.4,186.7,122.3,67.3,44.1,2.3431867339581833,16.50858544562552,8.393144081414041,Inline,Beat,Beat,Beat
43934,GUJGASLTD,Batlivala & Karani Securities India Pvt. Ltd.,3870.89,327.64,519.87,Consolidated,3998.3,503.8,335.2,12.6,8.4,-3.1866043068304104,-2.2553699284009556,3.189757840412861,Inline,Inline,Inline,Inline
43934,GUJGASLTD,Nuvama Institutional Equities,3870.89,327.64,519.87,Consolidated,3787.9,372.4,206.1,9.8,5.4,2.1909237308271012,58.97137311984474,39.5998925886144,Inline,Beat,Beat,Beat
159,GVT&D,Nuvama Institutional Equities,1330.13,291.2,387.59999999999997,Standalone,1201.4,222.3,165.2,18.5,13.7,10.714999167637757,76.27118644067798,74.35897435897434,Beat,Beat,Beat,Beat
12030,HAL,Nuvama Institutional Equities,4819.14,1377.15,1284.06,Standalone,4914.9,1105.9,1466.9,22.5,29.9,-1.9483611060245236,-6.118344808780421,16.109955692196387,Inline,Miss,Beat,Miss
3272,HAVELLS,Nuvama Institutional Equities,5455.35,347.53,515.6700000000001,Consolidated,6025.5,530.4,356.2,8.8,5.9,-9.462285287528,-2.434025828186417,-2.7771493212669505,Miss,Inline,Inline,Inline
3272,HAVELLS,Batlivala & Karani Securities India Pvt. Ltd.,5455.35,347.53,515.6700000000001,Consolidated,5926.6,563.0,390.6,9.5,6.6,-7.951439273782607,-11.02662570404507,-8.406749555950253,Miss,Miss,Miss,Miss
5656,HCLTECH,Batlivala & Karani Securities India Pvt. Ltd.,30349.0,3844.0,6035.0,Consolidated,30195.3,6280.6,4155.6,20.8,13.8,0.5090196156355483,-7.498315526037162,-3.9104544151832683,Inline,Miss,Inline,Miss
5656,HCLTECH,Nuvama Institutional Equities,30349.0,3844.0,6035.0,Consolidated,30218.6,6508.2,4312.3,21.5,14.3,0.43152230745303044,-10.859634069985859,-7.270827571371498,Inline,Miss,Miss,Miss
4987,HDFCBANK,Axis Securities,77470.2,18155.21,14004.12999999999,Standalone,43864.0,26013.0,17120.0,59.3,39.0,76.61453583804486,6.0467873831775645,-46.164879098912124,Beat,Beat,Miss,Beat
4987,HDFCBANK,Nuvama Institutional Equities,77470.2,18155.21,14004.12999999999,Standalone,928.4,735.7,688.9,79.3,74.2,8244.485135717363,2535.3912033676875,1803.5109419600365,Beat,Beat,Beat,Beat
4987,HDFCBANK,Batlivala & Karani Securities India Pvt. Ltd.,77470.2,18155.21,14004.12999999999,Standalone,43128.3,1423.2,16561.5,3.3,38.4,79.62729808501608,9.622981010174193,883.9888982574472,Beat,Beat,Beat,Beat
21997,HDFCLIFE,Batlivala & Karani Securities India Pvt. Ltd.,29381.3,546.46,460.4,Standalone,3291.8,826.2,825.3,25.1,25.1,792.5603013548817,-33.78650187810492,-44.27499394819657,Beat,Miss,Miss,Miss
21997,HDFCLIFE,Nuvama Institutional Equities,29381.3,546.46,460.4,Standalone,3200.0,793.6,2.5,24.8,0.1,818.165625,21758.4,-41.9858870967742,Beat,Beat,Miss,Beat
396,HEIDELBERG,Batlivala & Karani Securities India Pvt. Ltd.,597.54,48.23,88.52,Standalone,582.2,89.7,51.5,15.4,8.8,2.6348333905874126,-6.349514563106802,-1.3154960981048014,Inline,Miss,Inline,Miss
237,HEROMOTOCO,Nuvama Institutional Equities,9727.75,1705.65,1412.9,Consolidated,9764.1,1362.7,1042.2,14.0,10.7,-0.37228213557829565,63.65860679332182,3.683862919204524,Inline,Beat,Inline,Beat
